1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2004-01-05","10880","10880","10810","10810","229230","10810"
"2004-01-06","10960","10970","10810","10810","296800","10810"
"2004-01-07","10870","10870","10710","10750","194240","10750"
"2004-01-08","10780","10900","10740","10880","229760","10880"
"2004-01-09","10940","11030","10860","10930","347300","10930"
"2004-01-13","11000","11000","10790","10850","289660","10850"
"2004-01-14","10780","10890","10730","10870","155700","10870"
"2004-01-15","10890","10890","10650","10670","245920","10670"
"2004-01-16","10710","10870","10710","10850","170000","10850"
"2004-01-19","10970","11050","10930","11020","342990","11020"
"2004-01-20","11040","11200","10980","11040","492050","11040"
"2004-01-21","11060","11170","10990","11000","359900","11000"
"2004-01-22","11110","11130","11010","11040","250560","11040"
"2004-01-23","11010","11150","10950","11110","256720","11110"
"2004-01-26","10990","11030","10880","10990","152470","10990"
"2004-01-27","11050","11100","10920","10960","123740","10960"
"2004-01-28","10840","10910","10810","10900","282910","10900"
"2004-01-29","10720","10830","10680","10830","313550","10830"
"2004-01-30","10760","10850","10730","10800","129080","10800"
"2004-02-02","10800","10870","10780","10790","120180","10790"
"2004-02-03","10800","10810","10520","10650","305470","10650"
"2004-02-04","10610","10650","10430","10450","384790","10450"
"2004-02-05","10370","10500","10370","10470","241500","10470"
"2004-02-06","10500","10510","10420","10470","283830","10470"
"2004-02-09","10570","10600","10380","10400","337670","10400"
"2004-02-10","10440","10470","10310","10400","283330","10400"
"2004-02-12","10480","10570","10460","10470","381480","10470"
"2004-02-13","10480","10580","10430","10580","175570","10580"
"2004-02-16","10590","10630","10550","10570","156430","10570"
"2004-02-17","10570","10730","10540","10690","271470","10690"
"2004-02-18","10780","10800","10680","10690","175720","10690"
"2004-02-19","10790","10820","10730","10790","164370","10790"
"2004-02-20","10760","10780","10680","10750","101900","10750"
"2004-02-23","10790","10910","10750","10890","173430","10890"
"2004-02-24","10830","10870","10650","10660","157000","10660"
"2004-02-25","10650","10740","10620","10680","107050","10680"
"2004-02-26","10760","10830","10690","10820","120180","10820"
"2004-02-27","10860","11080","10860","11060","656570","11060"
"2004-03-01","11100","11340","11100","11290","629500","11290"
"2004-03-02","11380","11400","11290","11380","404030","11380"
"2004-03-03","11400","11440","11320","11340","343890","11340"
"2004-03-04","11340","11480","11340","11430","430840","11430"
"2004-03-05","11510","11580","11420","11580","235540","11580"
"2004-03-08","11640","11660","11540","11560","344500","11560"
"2004-03-09","11470","11540","11450","11520","233660","11520"
"2004-03-10","11500","11500","11360","11440","454310","11440"
"2004-03-11","11300","11370","11220","11310","344000","11310"
"2004-03-12","11180","11200","11050","11200","512400","11200"
"2004-03-15","11330","11360","11280","11320","175130","11320"
"2004-03-16","11230","11330","11230","11250","194320","11250"
"2004-03-17","11330","11490","11300","11440","213690","11440"
"2004-03-18","11640","11660","11450","11450","363780","11450"
"2004-03-19","11450","11490","11370","11420","253210","11420"
"2004-03-22","11340","11360","11300","11310","256260","11310"
"2004-03-23","11160","11340","11080","11290","475840","11290"
"2004-03-24","11330","11380","11220","11360","418020","11360"
"2004-03-25","11430","11550","11420","11550","340280","11550"
"2004-03-26","11750","11830","11740","11790","393940","11790"
"2004-03-29","11850","11900","11720","11800","280500","11800"
"2004-03-30","11900","11920","11730","11760","206860","11760"
"2004-03-31","11760","11830","11650","11820","198830","11820"
"2004-04-01","11840","11880","11700","11730","197180","11730"
"2004-04-02","11820","11890","11770","11880","214260","11880"
"2004-04-05","12040","12060","11990","12040","228530","12040"
"2004-04-06","12140","12150","12000","12140","263880","12140"
"2004-04-07","12080","12150","12050","12050","187620","12050"
"2004-04-08","12080","12180","12000","12170","193400","12170"
"2004-04-09","12050","12050","11910","11940","396600","11940"
"2004-04-12","11960","12130","11960","12090","132570","12090"
"2004-04-13","12200","12230","12150","12190","215120","12190"
"2004-04-14","12120","12190","12090","12170","180000","12170"
"2004-04-15","12170","12240","11830","11880","509130","11880"
"2004-04-16","11830","11920","11750","11910","316200","11910"
"2004-04-19","11940","11950","11680","11800","297410","11800"
"2004-04-20","11860","12090","11820","12040","181450","12040"
"2004-04-21","11990","12060","11930","12000","165940","12000"
"2004-04-22","12080","12120","12000","12030","97150","12030"
"2004-04-23","12180","12180","12060","12180","255130","12180"
"2004-04-26","12200","12250","12130","12230","160920","12230"
"2004-04-27","12180","12180","12060","12100","232420","12100"
"2004-04-28","12090","12140","12020","12050","176740","12050"
"2004-04-30","11800","11800","11700","11800","582900","11800"
"2004-05-06","11830","11830","11600","11630","340660","11630"
"2004-05-07","11540","11640","11500","11540","439210","11540"
"2004-05-10","11450","11450","10840","10840","1114570","10840"
"2004-05-11","10890","11030","10820","10980","561570","10980"
"2004-05-12","11110","11200","11040","11180","347110","11180"
"2004-05-13","11130","11130","10890","10890","325270","10890"
"2004-05-14","10960","10990","10790","10930","192930","10930"
"2004-05-17","10800","10830","10540","10590","370090","10590"
"2004-05-18","10600","10760","10580","10740","182420","10740"
"2004-05-19","10840","11040","10780","10990","320380","10990"
"2004-05-20","10990","11110","10810","10900","241270","10900"
"2004-05-21","10960","11130","10920","11120","178920","11120"
"2004-05-24","11140","11210","11080","11150","126290","11150"
"2004-05-25","11080","11110","10970","11020","163070","11020"
"2004-05-26","11240","11270","11170","11170","231810","11170"
"2004-05-27","11190","11270","11180","11200","82410","11200"
"2004-05-28","11320","11400","11310","11400","360470","11400"
"2004-05-31","11310","11340","11160","11270","148600","11270"
"2004-06-01","11290","11390","11230","11360","139090","11360"
"2004-06-02","11300","11310","11230","11290","80570","11290"
"2004-06-03","11360","11410","11010","11110","281460","11110"
"2004-06-04","11130","11200","11060","11200","225840","11200"
"2004-06-07","11280","11530","11280","11480","390120","11480"
"2004-06-08","11600","11600","11500","11530","183450","11530"
"2004-06-09","11590","11590","11460","11510","207160","11510"
"2004-06-10","11400","11690","11400","11670","283750","11670"
"2004-06-11","11620","11700","11520","11580","206000","11580"
"2004-06-14","11550","11680","11510","11510","181870","11510"
"2004-06-15","11480","11540","11390","11480","184010","11480"
"2004-06-16","11580","11730","11570","11660","319380","11660"
"2004-06-17","11650","11700","11540","11630","180410","11630"
"2004-06-18","11600","11600","11370","11490","326360","11490"
"2004-06-21","11560","11800","11560","11630","374980","11630"
"2004-06-22","11580","11630","11500","11620","166100","11620"
"2004-06-23","11700","11730","11590","11640","172440","11640"
"2004-06-24","11750","11810","11690","11800","402200","11800"
"2004-06-25","11810","11850","11710","11850","236440","11850"
