Date,open,hight,low,close,volume,close_adj
"2007-01-04","17480","17530","17460","17490","380690","17490"
"2007-01-05","17450","17470","17160","17230","759280","17230"
"2007-01-09","17150","17420","17130","17380","539860","17380"
"2007-01-10","17380","17380","17000","17080","598570","17080"
"2007-01-11","17120","17210","16910","16990","463270","16990"
"2007-01-12","17160","17310","17080","17220","489410","17220"
"2007-01-15","17280","17420","17280","17390","386900","17390"
"2007-01-16","17370","17440","17330","17370","301900","17370"
"2007-01-17","17310","17500","17150","17420","590480","17420"
"2007-01-18","17360","17570","17360","17500","519880","17500"
"2007-01-19","17470","17530","17390","17460","517110","17460"
"2007-01-22","17590","17630","17550","17570","349300","17570"
"2007-01-23","17510","17590","17470","17570","313980","17570"
"2007-01-24","17650","17700","17650","17670","357930","17670"
"2007-01-25","17780","17780","17570","17630","450040","17630"
"2007-01-26","17530","17570","17450","17520","749670","17520"
"2007-01-29","17540","17650","17470","17630","285830","17630"
"2007-01-30","17680","17710","17600","17660","348200","17660"
"2007-01-31","17640","17660","17410","17540","559480","17540"
"2007-02-01","17540","17700","17500","17700","434960","17700"
"2007-02-02","17720","17790","17680","17710","476440","17710"
"2007-02-05","17690","17700","17450","17490","467860","17490"
"2007-02-06","17560","17590","17500","17550","375090","17550"
"2007-02-07","17490","17530","17340","17460","417990","17460"
"2007-02-08","17520","17550","17370","17430","317280","17430"
"2007-02-09","17480","17690","17440","17680","596290","17680"
"2007-02-13","17620","17780","17590","17770","333840","17770"
"2007-02-14","17800","17940","17790","17940","510090","17940"
"2007-02-15","18080","18100","17970","18050","541960","18050"
"2007-02-16","17970","18040","17940","18000","407240","18000"
"2007-02-19","17980","18130","17970","18080","421940","18080"
"2007-02-20","18080","18110","17980","18100","256750","18100"
"2007-02-21","18060","18130","18010","18090","307920","18090"
"2007-02-22","18200","18290","18180","18240","511270","18240"
"2007-02-23","18280","18400","18210","18370","298180","18370"
"2007-02-26","18400","18470","18300","18380","416580","18380"
"2007-02-27","18410","18430","18230","18280","450500","18280"
"2007-02-28","17560","17740","17500","17710","1401210","17710"
"2007-03-01","17670","17720","17420","17550","1113590","17550"
"2007-03-02","17500","17530","17320","17330","924690","17330"
"2007-03-05","17050","17100","16680","16790","1193360","16790"
"2007-03-06","16790","17040","16790","16970","999600","16970"
"2007-03-07","17200","17200","16880","16930","884900","16930"
"2007-03-08","16880","17240","16830","17230","657750","17230"
"2007-03-09","17330","17400","17250","17330","668320","17330"
"2007-03-12","17480","17490","17360","17470","496750","17470"
"2007-03-13","17450","17460","17300","17340","326350","17340"
"2007-03-14","16940","16980","16760","16760","2052650","16760"
"2007-03-15","16940","17090","16910","17000","605720","17000"
"2007-03-16","16920","17090","16790","16890","499840","16890"
"2007-03-19","16860","17200","16840","17190","334470","17190"
"2007-03-20","17330","17420","17290","17370","424960","17370"
"2007-03-22","17600","17650","17550","17580","556980","17580"
"2007-03-23","17670","17690","17560","17630","513840","17630"
"2007-03-26","17690","17700","17580","17690","272580","17690"
"2007-03-27","17600","17760","17550","17640","420190","17640"
"2007-03-28","17580","17680","17370","17460","340770","17460"
"2007-03-29","17350","17580","17270","17480","443520","17480"
"2007-03-30","17550","17620","17500","17520","262330","17520"
"2007-04-02","17600","17660","17220","17250","454170","17250"
"2007-04-03","17400","17520","17330","17470","395750","17470"
"2007-04-04","17640","17810","17630","17790","751560","17790"
